# Every `pro` command path the CLI shipped before spec-derived naming, with the
# shape it had then and the shape it has now. See invocation_sweep_test.go.
#
# Columns: invocation <TAB> was <TAB> now
#   leaf  — resolves to a command that runs and returns a result
#   group — resolves to a parent, which prints help and exits 0
#   gone  — no longer resolves at all (`now` only)
#
# A `leaf`->`group` row is the worst shape a rename can take and there are three:
# the path still resolves and still exits 0, and a script piping it into jq gets
# help text instead of data. Recorded here and in CHANGELOG.md's migration table.
pro access-managements	group	group
pro access-managements access-management	leaf	leaf
pro access-managements list	leaf	gone
pro account-driven-user-enrollment-session-token-settings	group	group
pro account-driven-user-enrollment-session-token-settings get	leaf	leaf
pro account-driven-user-enrollment-session-token-settings update	leaf	leaf
pro account-groups	group	group
pro account-groups get	leaf	leaf
pro account-groups list	leaf	leaf
pro account-preferences	group	group
pro account-preferences list	leaf	leaf
pro account-preferences patch	leaf	leaf
pro activation-codes	group	group
pro activation-codes add-history-note	leaf	leaf
pro activation-codes history	leaf	leaf
pro activation-codes history-export	leaf	leaf
pro activation-codes patch	leaf	gone
pro activation-codes update	leaf	leaf
pro adcs-settings	group	group
pro adcs-settings add-history-note	leaf	leaf
pro adcs-settings create	leaf	leaf
pro adcs-settings delete	leaf	leaf
pro adcs-settings dependencies	leaf	leaf
pro adcs-settings get	leaf	leaf
pro adcs-settings history	leaf	leaf
pro adcs-settings patch	leaf	leaf
pro adcs-settings validate-certificate	leaf	leaf
pro adcs-settings validate-client-certificate	leaf	leaf
pro advanced-mobile-device-searches	group	group
pro advanced-mobile-device-searches apply	leaf	leaf
pro advanced-mobile-device-searches choices	leaf	leaf
pro advanced-mobile-device-searches create	leaf	leaf
pro advanced-mobile-device-searches delete	leaf	leaf
pro advanced-mobile-device-searches delete-multiple	leaf	leaf
pro advanced-mobile-device-searches get	leaf	leaf
pro advanced-mobile-device-searches list	leaf	leaf
pro advanced-mobile-device-searches update	leaf	leaf
pro advanced-user-content-searches	group	group
pro advanced-user-content-searches apply	leaf	leaf
pro advanced-user-content-searches create	leaf	leaf
pro advanced-user-content-searches delete	leaf	leaf
pro advanced-user-content-searches get	leaf	leaf
pro advanced-user-content-searches list	leaf	leaf
pro advanced-user-content-searches update	leaf	leaf
pro api-integrations	group	group
pro api-integrations apply	leaf	leaf
pro api-integrations client-credentials	leaf	leaf
pro api-integrations create	leaf	leaf
pro api-integrations delete	leaf	leaf
pro api-integrations get	leaf	leaf
pro api-integrations list	leaf	leaf
pro api-integrations update	leaf	leaf
pro api-roles	group	group
pro api-roles apply	leaf	leaf
pro api-roles create	leaf	leaf
pro api-roles delete	leaf	leaf
pro api-roles get	leaf	leaf
pro api-roles list	leaf	leaf
pro api-roles update	leaf	leaf
pro api-roles-privileges	group	group
pro api-roles-privileges api-role-privileges	leaf	gone
pro api-roles-privileges search	leaf	leaf
pro apns-client-push-status	group	group
pro apns-client-push-status apns-client-push-status	leaf	gone
pro apns-client-push-status enable-all-clients	leaf	leaf
pro apns-client-push-status enable-client	leaf	leaf
pro apns-client-push-status status	leaf	leaf
pro app-installer-deployments	group	group
pro app-installer-deployments add-history-note	leaf	leaf
pro app-installer-deployments apply	leaf	leaf
pro app-installer-deployments computers	leaf	leaf
pro app-installer-deployments create	leaf	leaf
pro app-installer-deployments delete	leaf	leaf
pro app-installer-deployments export	leaf	leaf
pro app-installer-deployments get	leaf	leaf
pro app-installer-deployments history	leaf	leaf
pro app-installer-deployments installation-retry	leaf	leaf
